slot; time; display; program.state; capacity; hours; minutes; charger.voltage; charger.amperage; battery.fill; battery.voltage; charged.capacity; discharged.capacity; battery.resistor; charger.volume.pre3; charger.volume.pre2; charger.volume.pre1; charger.volume.pre0
2;1420805268;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1266;0;2444;1201;0;0;0;1269
3;1420805268;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1275;0;1895;1037;0;0;0;1277
4;1420805268;'CHK';'Discharge';'1500-2200 mAh';0;1;0;728;0;1275;0;1679;1175;0;0;0;1278
1;1420805269;'CHK';'Discharge';'1500-2200 mAh';0;2;0;692;0;1266;0;2699;1116;0;0;0;1269
2;1420805269;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1266;0;2444;1201;0;0;0;1269
3;1420805269;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1275;0;1895;1037;0;0;0;1277
4;1420805269;'CHK';'Discharge';'1500-2200 mAh';0;1;0;728;0;1275;0;1679;1177;0;0;0;1278
1;1420805270;'CHK';'Discharge';'1500-2200 mAh';0;2;0;692;0;1266;0;2699;1114;0;0;0;1269
2;1420805270;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1266;0;2444;1200;0;0;0;1269
3;1420805270;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1275;0;1895;1037;0;0;0;1277
4;1420805270;'CHK';'Discharge';'1500-2200 mAh';0;1;0;728;0;1275;0;1679;1179;0;0;0;1278
1;1420805271;'CHK';'Discharge';'1500-2200 mAh';0;2;0;692;0;1264;0;2699;1264;0;0;1269;1266
2;1420805271;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2444;1264;0;0;1269;1266
3;1420805271;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;1895;1272;0;0;1277;1275
4;1420805271;'CHK';'Discharge';'1500-2200 mAh';0;1;0;728;0;1272;0;1679;1272;0;0;1278;1275
1;1420805272;'CHK';'Discharge';'1500-2200 mAh';0;2;0;692;0;1264;0;2699;1266;0;0;1269;1266
2;1420805272;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2444;1266;0;0;1269;1266
3;1420805272;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;1895;1274;0;0;1277;1275
4;1420805272;'CHK';'Discharge';'1500-2200 mAh';0;1;0;728;0;1272;0;1679;1274;0;0;1278;1275
